reservoir,storage,capacity,date,state
"Flaming Gorge",3007591,3788700,10/2000,UT
"Flaming Gorge",3007226,3788700,10/2000,UT
"Flaming Gorge",3007226,3788700,10/2000,UT
"Flaming Gorge",3007591,3788700,10/2000,UT
"Flaming Gorge",3007938,3788700,10/2000,UT
"Flaming Gorge",3007591,3788700,10/2000,UT
"Flaming Gorge",3008303,3788700,10/2000,UT
"Flaming Gorge",3007591,3788700,10/2000,UT
"Flaming Gorge",3007591,3788700,10/2000,UT
"Flaming Gorge",3007591,3788700,10/2000,UT
"Flaming Gorge",3007226,3788700,10/2000,UT
"Flaming Gorge",3007226,3788700,10/2000,UT
"Flaming Gorge",3007591,3788700,10/2000,UT
"Flaming Gorge",3006514,3788700,10/2000,UT
"Flaming Gorge",3005820,3788700,10/2000,UT
"Flaming Gorge",3007226,3788700,10/2000,UT
"Flaming Gorge",3006167,3788700,10/2000,UT
"Flaming Gorge",3007226,3788700,10/2000,UT
"Flaming Gorge",3006167,3788700,10/2000,UT
"Flaming Gorge",3006514,3788700,10/2000,UT
"Flaming Gorge",3006514,3788700,10/2000,UT
"Flaming Gorge",3006167,3788700,10/2000,UT
"Flaming Gorge",3006514,3788700,10/2000,UT
"Flaming Gorge",3006879,3788700,10/2000,UT
"Flaming Gorge",3007226,3788700,10/2000,UT
"Flaming Gorge",3007226,3788700,11/2000,UT
"Flaming Gorge",3007591,3788700,11/2000,UT
"Flaming Gorge",3006879,3788700,11/2000,UT
"Flaming Gorge",3007226,3788700,11/2000,UT
"Flaming Gorge",3007226,3788700,11/2000,UT
"Flaming Gorge",3006514,3788700,11/2000,UT
"Flaming Gorge",3006167,3788700,11/2000,UT
"Flaming Gorge",3006167,3788700,11/2000,UT
"Flaming Gorge",3007226,3788700,11/2000,UT
"Flaming Gorge",3007226,3788700,11/2000,UT
"Flaming Gorge",3006514,3788700,11/2000,UT
"Flaming Gorge",3006167,3788700,11/2000,UT
"Flaming Gorge",3005109,3788700,11/2000,UT
"Flaming Gorge",3004033,3788700,11/2000,UT
"Flaming Gorge",3003322,3788700,11/2000,UT
"Flaming Gorge",3002264,3788700,11/2000,UT
"Flaming Gorge",3001553,3788700,11/2000,UT
"Flaming Gorge",3000479,3788700,11/2000,UT
"Flaming Gorge",3000479,3788700,11/2000,UT
"Flaming Gorge",3000132,3788700,11/2000,UT
"Flaming Gorge",3000479,3788700,11/2000,UT
"Flaming Gorge",3000132,3788700,11/2000,UT
"Flaming Gorge",2999768,3788700,11/2000,UT
"Flaming Gorge",2999058,3788700,11/2000,UT
"Flaming Gorge",2999058,3788700,11/2000,UT
"Flaming Gorge",2998347,3788700,11/2000,UT
"Flaming Gorge",2998711,3788700,11/2000,UT
"Flaming Gorge",2999058,3788700,11/2000,UT
"Flaming Gorge",2999058,3788700,11/2000,UT
"Flaming Gorge",2998711,3788700,11/2000,UT
"Flaming Gorge",2997637,3788700,12/2000,UT
"Flaming Gorge",2996945,3788700,12/2000,UT
"Flaming Gorge",2996581,3788700,12/2000,UT
"Flaming Gorge",2996235,3788700,12/2000,UT
"Flaming Gorge",2995871,3788700,12/2000,UT
"Flaming Gorge",2995525,3788700,12/2000,UT
"Flaming Gorge",2995162,3788700,12/2000,UT
"Flaming Gorge",2995525,3788700,12/2000,UT
"Flaming Gorge",2995162,3788700,12/2000,UT
"Flaming Gorge",2995162,3788700,12/2000,UT
"Flaming Gorge",2994816,3788700,12/2000,UT
"Flaming Gorge",2994452,3788700,12/2000,UT
"Flaming Gorge",2993743,3788700,12/2000,UT
"Flaming Gorge",2993743,3788700,12/2000,UT
"Flaming Gorge",2993397,3788700,12/2000,UT
"Flaming Gorge",2992688,3788700,12/2000,UT
"Flaming Gorge",2991979,3788700,12/2000,UT
"Flaming Gorge",2991615,3788700,12/2000,UT
"Flaming Gorge",2990907,3788700,12/2000,UT
"Flaming Gorge",2990907,3788700,12/2000,UT
"Flaming Gorge",2990561,3788700,12/2000,UT
"Flaming Gorge",2990198,3788700,12/2000,UT
"Flaming Gorge",2990561,3788700,12/2000,UT
"Flaming Gorge",2991270,3788700,12/2000,UT
"Flaming Gorge",2991270,3788700,12/2000,UT
"Flaming Gorge",2991615,3788700,12/2000,UT
"Flaming Gorge",2991615,3788700,12/2000,UT
"Flaming Gorge",2991270,3788700,12/2000,UT
"Flaming Gorge",2991270,3788700,12/2000,UT
"Flaming Gorge",2991615,3788700,12/2000,UT
"Flaming Gorge",2991270,3788700,12/2000,UT
"Flaming Gorge",2991270,3788700,01/2001,UT
"Flaming Gorge",2991270,3788700,01/2001,UT
"Flaming Gorge",2991270,3788700,01/2001,UT
"Flaming Gorge",2990907,3788700,01/2001,UT
"Flaming Gorge",2990561,3788700,01/2001,UT
"Flaming Gorge",2991270,3788700,01/2001,UT
"Flaming Gorge",2991615,3788700,01/2001,UT
"Flaming Gorge",2991270,3788700,01/2001,UT
"Flaming Gorge",2991615,3788700,01/2001,UT
"Flaming Gorge",2991979,3788700,01/2001,UT
"Flaming Gorge",2991979,3788700,01/2001,UT
"Flaming Gorge",2991979,3788700,01/2001,UT
"Flaming Gorge",2991615,3788700,01/2001,UT
"Flaming Gorge",2991270,3788700,01/2001,UT
"Flaming Gorge",2991615,3788700,01/2001,UT
"Flaming Gorge",2991270,3788700,01/2001,UT
"Flaming Gorge",2990561,3788700,01/2001,UT
"Flaming Gorge",2990198,3788700,01/2001,UT
"Flaming Gorge",2990198,3788700,01/2001,UT
"Flaming Gorge",2990198,3788700,01/2001,UT
"Flaming Gorge",2990561,3788700,01/2001,UT
"Flaming Gorge",2990907,3788700,01/2001,UT
"Flaming Gorge",2991270,3788700,01/2001,UT
"Flaming Gorge",2991615,3788700,01/2001,UT
"Flaming Gorge",2991979,3788700,01/2001,UT
"Flaming Gorge",2991979,3788700,01/2001,UT
"Flaming Gorge",2991615,3788700,01/2001,UT
"Flaming Gorge",2991979,3788700,01/2001,UT
"Flaming Gorge",2991979,3788700,01/2001,UT
"Flaming Gorge",2992324,3788700,01/2001,UT
"Flaming Gorge",2992324,3788700,01/2001,UT
"Flaming Gorge",2991979,3788700,02/2001,UT
"Flaming Gorge",2991979,3788700,02/2001,UT
"Flaming Gorge",2991979,3788700,02/2001,UT
"Flaming Gorge",2991270,3788700,02/2001,UT
"Flaming Gorge",2991615,3788700,02/2001,UT
"Flaming Gorge",2992324,3788700,02/2001,UT
"Flaming Gorge",2993034,3788700,02/2001,UT
"Flaming Gorge",2993743,3788700,02/2001,UT
"Flaming Gorge",2994452,3788700,02/2001,UT
"Flaming Gorge",2994816,3788700,02/2001,UT
"Flaming Gorge",2995162,3788700,02/2001,UT
"Flaming Gorge",2995162,3788700,02/2001,UT
"Flaming Gorge",2994452,3788700,02/2001,UT
"Flaming Gorge",2994816,3788700,02/2001,UT
"Flaming Gorge",2995525,3788700,02/2001,UT
"Flaming Gorge",2995162,3788700,02/2001,UT
"Flaming Gorge",2995162,3788700,02/2001,UT
"Flaming Gorge",2994816,3788700,02/2001,UT
"Flaming Gorge",2994816,3788700,02/2001,UT
"Flaming Gorge",2994106,3788700,02/2001,UT
"Flaming Gorge",2994816,3788700,02/2001,UT
"Flaming Gorge",2995871,3788700,02/2001,UT
"Flaming Gorge",2995525,3788700,02/2001,UT
"Flaming Gorge",2996235,3788700,02/2001,UT
"Flaming Gorge",2996235,3788700,02/2001,UT
"Flaming Gorge",2995871,3788700,02/2001,UT
"Flaming Gorge",2995871,3788700,02/2001,UT
"Flaming Gorge",2995525,3788700,02/2001,UT
"Flaming Gorge",2994816,3788700,03/2001,UT
"Flaming Gorge",2994816,3788700,03/2001,UT
"Flaming Gorge",2994106,3788700,03/2001,UT
"Flaming Gorge",2993397,3788700,03/2001,UT
"Flaming Gorge",2993397,3788700,03/2001,UT
"Flaming Gorge",2992688,3788700,03/2001,UT
"Flaming Gorge",2992324,3788700,03/2001,UT
"Flaming Gorge",2992324,3788700,03/2001,UT
"Flaming Gorge",2993743,3788700,03/2001,UT
"Flaming Gorge",2995162,3788700,03/2001,UT
"Flaming Gorge",2996581,3788700,03/2001,UT
"Flaming Gorge",2997291,3788700,03/2001,UT
"Flaming Gorge",2997637,3788700,03/2001,UT
"Flaming Gorge",2998001,3788700,03/2001,UT
"Flaming Gorge",2998347,3788700,03/2001,UT
"Flaming Gorge",2998347,3788700,03/2001,UT
"Flaming Gorge",2998711,3788700,03/2001,UT
"Flaming Gorge",2998347,3788700,03/2001,UT
"Flaming Gorge",2999058,3788700,03/2001,UT
"Flaming Gorge",3001553,3788700,03/2001,UT
"Flaming Gorge",3004033,3788700,03/2001,UT
"Flaming Gorge",3008303,3788700,03/2001,UT
"Flaming Gorge",3013638,3788700,03/2001,UT
"Flaming Gorge",3017552,3788700,03/2001,UT
"Flaming Gorge",3020774,3788700,03/2001,UT
"Flaming Gorge",3022918,3788700,03/2001,UT
"Flaming Gorge",3023266,3788700,03/2001,UT
"Flaming Gorge",3024330,3788700,03/2001,UT
"Flaming Gorge",3025411,3788700,03/2001,UT
"Flaming Gorge",3025411,3788700,03/2001,UT
"Flaming Gorge",3025411,3788700,03/2001,UT
"Flaming Gorge",3026127,3788700,04/2001,UT
"Flaming Gorge",3026127,3788700,04/2001,UT
"Flaming Gorge",3026842,3788700,04/2001,UT
"Flaming Gorge",3027906,3788700,04/2001,UT
"Flaming Gorge",3029705,3788700,04/2001,UT
"Flaming Gorge",3030421,3788700,04/2001,UT
"Flaming Gorge",3029705,3788700,04/2001,UT
"Flaming Gorge",3032919,3788700,04/2001,UT
"Flaming Gorge",3033269,3788700,04/2001,UT
"Flaming Gorge",3035069,3788700,04/2001,UT
"Flaming Gorge",3033985,3788700,04/2001,UT
"Flaming Gorge",3033269,3788700,04/2001,UT
"Flaming Gorge",3032203,3788700,04/2001,UT
"Flaming Gorge",3032203,3788700,04/2001,UT
"Flaming Gorge",3032569,3788700,04/2001,UT
"Flaming Gorge",3031853,3788700,04/2001,UT
"Flaming Gorge",3031853,3788700,04/2001,UT
"Flaming Gorge",3031853,3788700,04/2001,UT
"Flaming Gorge",3032203,3788700,04/2001,UT
"Flaming Gorge",3032203,3788700,04/2001,UT
"Flaming Gorge",3032569,3788700,04/2001,UT
"Flaming Gorge",3032919,3788700,04/2001,UT
"Flaming Gorge",3032919,3788700,04/2001,UT
"Flaming Gorge",3032919,3788700,04/2001,UT
"Flaming Gorge",3033269,3788700,04/2001,UT
"Flaming Gorge",3033985,3788700,04/2001,UT
"Flaming Gorge",3035069,3788700,04/2001,UT
"Flaming Gorge",3037221,3788700,04/2001,UT
"Flaming Gorge",3039373,3788700,04/2001,UT
"Flaming Gorge",3041159,3788700,04/2001,UT
"Flaming Gorge",3041159,3788700,05/2001,UT
"Flaming Gorge",3045470,3788700,05/2001,UT
"Flaming Gorge",3047627,3788700,05/2001,UT
"Flaming Gorge",3047978,3788700,05/2001,UT
"Flaming Gorge",3050856,3788700,05/2001,UT
"Flaming Gorge",3051927,3788700,05/2001,UT
"Flaming Gorge",3054088,3788700,05/2001,UT
"Flaming Gorge",3056619,3788700,05/2001,UT
"Flaming Gorge",3059855,3788700,05/2001,UT
"Flaming Gorge",3062020,3788700,05/2001,UT
"Flaming Gorge",3064186,3788700,05/2001,UT
"Flaming Gorge",3064909,3788700,05/2001,UT
"Flaming Gorge",3063816,3788700,05/2001,UT
"Flaming Gorge",3062742,3788700,05/2001,UT
"Flaming Gorge",3060207,3788700,05/2001,UT
