reservoir,storage,capacity,date,state
"Red Fleet",17382.64,26000,11/2000,UT
"Red Fleet",17374.54,26000,11/2000,UT
"Red Fleet",17402.81,26000,11/2000,UT
"Red Fleet",17419.03,26000,11/2000,UT
"Red Fleet",17439.4,26000,11/2000,UT
"Red Fleet",17463.72,26000,11/2000,UT
"Red Fleet",17492,26000,11/2000,UT
"Red Fleet",17524.91,26000,11/2000,UT
"Red Fleet",17549.6,26000,11/2000,UT
"Red Fleet",17570.07,26000,11/2000,UT
"Red Fleet",17594.75,26000,11/2000,UT
"Red Fleet",17615.22,26000,11/2000,UT
"Red Fleet",17635.89,26000,11/2000,UT
"Red Fleet",17656.36,26000,11/2000,UT
"Red Fleet",17677.03,26000,11/2000,UT
"Red Fleet",17693.49,26000,11/2000,UT
"Red Fleet",17717.97,26000,11/2000,UT
"Red Fleet",17738.64,26000,11/2000,UT
"Red Fleet",17759.11,26000,11/2000,UT
"Red Fleet",17779.78,26000,11/2000,UT
"Red Fleet",17800.25,26000,11/2000,UT
"Red Fleet",17820.72,26000,11/2000,UT
"Red Fleet",17841.39,26000,11/2000,UT
"Red Fleet",17853.63,26000,11/2000,UT
"Red Fleet",17874.3,26000,11/2000,UT
"Red Fleet",17894.77,26000,11/2000,UT
"Red Fleet",17911.35,26000,11/2000,UT
"Red Fleet",17928.04,26000,11/2000,UT
"Red Fleet",17948.81,26000,12/2000,UT
"Red Fleet",17965.51,26000,12/2000,UT
"Red Fleet",17982.21,26000,12/2000,UT
"Red Fleet",17998.9,26000,12/2000,UT
"Red Fleet",18011.32,26000,12/2000,UT
"Red Fleet",18028.02,26000,12/2000,UT
"Red Fleet",18053.06,26000,12/2000,UT
"Red Fleet",18074.04,26000,12/2000,UT
"Red Fleet",18090.73,26000,12/2000,UT
"Red Fleet",18107.43,26000,12/2000,UT
"Red Fleet",18128.2,26000,12/2000,UT
"Red Fleet",18144.89,26000,12/2000,UT
"Red Fleet",18161.59,26000,12/2000,UT
"Red Fleet",18178.29,26000,12/2000,UT
"Red Fleet",18203.33,26000,12/2000,UT
"Red Fleet",18219.82,26000,12/2000,UT
"Red Fleet",18240.79,26000,12/2000,UT
"Red Fleet",18257.49,26000,12/2000,UT
"Red Fleet",18274.19,26000,12/2000,UT
"Red Fleet",18294.96,26000,12/2000,UT
"Red Fleet",18307.58,26000,12/2000,UT
"Red Fleet",18307.58,26000,12/2000,UT
"Red Fleet",18328.45,26000,12/2000,UT
"Red Fleet",18345.35,26000,12/2000,UT
"Red Fleet",18379.14,26000,12/2000,UT
"Red Fleet",18391.71,26000,12/2000,UT
"Red Fleet",18404.48,26000,12/2000,UT
"Red Fleet",18429.62,26000,12/2000,UT
"Red Fleet",18438.07,26000,12/2000,UT
"Red Fleet",18459.29,26000,12/2000,UT
"Red Fleet",18476.19,26000,12/2000,UT
"Red Fleet",18488.76,26000,01/2001,UT
"Red Fleet",18505.66,26000,01/2001,UT
"Red Fleet",18522.55,26000,01/2001,UT
"Red Fleet",18539.45,26000,01/2001,UT
"Red Fleet",18552.02,26000,01/2001,UT
"Red Fleet",18560.47,26000,01/2001,UT
"Red Fleet",18573.24,26000,01/2001,UT
"Red Fleet",18581.69,26000,01/2001,UT
"Red Fleet",18611.16,26000,01/2001,UT
"Red Fleet",18619.6,26000,01/2001,UT
"Red Fleet",18657.52,26000,01/2001,UT
"Red Fleet",18670.29,26000,01/2001,UT
"Red Fleet",18691.31,26000,01/2001,UT
"Red Fleet",18712.54,26000,01/2001,UT
"Red Fleet",18737.88,26000,01/2001,UT
"Red Fleet",18750.59,26000,01/2001,UT
"Red Fleet",18759.18,26000,01/2001,UT
"Red Fleet",18771.96,26000,01/2001,UT
"Red Fleet",18784.94,26000,01/2001,UT
"Red Fleet",18806.31,26000,01/2001,UT
"Red Fleet",18823.48,26000,01/2001,UT
"Red Fleet",18836.47,26000,01/2001,UT
"Red Fleet",18853.44,26000,01/2001,UT
"Red Fleet",18862.03,26000,01/2001,UT
"Red Fleet",18892.19,26000,01/2001,UT
"Red Fleet",18904.97,26000,01/2001,UT
"Red Fleet",18926.54,26000,01/2001,UT
"Red Fleet",18947.91,26000,01/2001,UT
"Red Fleet",18965.09,26000,01/2001,UT
"Red Fleet",18973.68,26000,01/2001,UT
"Red Fleet",18982.27,26000,01/2001,UT
"Red Fleet",19008.03,26000,02/2001,UT
"Red Fleet",19020.81,26000,02/2001,UT
"Red Fleet",19033.79,26000,02/2001,UT
"Red Fleet",19046.57,26000,02/2001,UT
"Red Fleet",19063.75,26000,02/2001,UT
"Red Fleet",19080.93,26000,02/2001,UT
"Red Fleet",19098.1,26000,02/2001,UT
"Red Fleet",19110.88,26000,02/2001,UT
"Red Fleet",19119.47,26000,02/2001,UT
"Red Fleet",19136.65,26000,02/2001,UT
"Red Fleet",19153.82,26000,02/2001,UT
"Red Fleet",19171,26000,02/2001,UT
"Red Fleet",19188.42,26000,02/2001,UT
"Red Fleet",19197.12,26000,02/2001,UT
"Red Fleet",19214.54,26000,02/2001,UT
"Red Fleet",19227.5,26000,02/2001,UT
"Red Fleet",19240.67,26000,02/2001,UT
"Red Fleet",19253.62,26000,02/2001,UT
"Red Fleet",19271.04,26000,02/2001,UT
"Red Fleet",19288.46,26000,02/2001,UT
"Red Fleet",19301.42,26000,02/2001,UT
"Red Fleet",19318.83,26000,02/2001,UT
"Red Fleet",19349.42,26000,02/2001,UT
"Red Fleet",19366.84,26000,02/2001,UT
"Red Fleet",19384.25,26000,02/2001,UT
"Red Fleet",19405.92,26000,02/2001,UT
"Red Fleet",19423.33,26000,02/2001,UT
"Red Fleet",19432.04,26000,02/2001,UT
"Red Fleet",19449.46,26000,03/2001,UT
